accession,title,organism,platform_type,gpl,n_samples_total,n_cases,n_controls,tissue,has_healthy_ctrl,notes,query_source,summary_excerpt
GSE121849,A low DNA methylation epigenotype in squamous cell lung cancer and its association with idiopathic pulmonary fibrosis an,Homo sapiens,,13534,33,,,,,,broad,Comprehensive DNA methylation analysis in clinical samples of lung squamous cell carcinoma with or without tidiopathic pulmonary fibrosis. Infinium HumanMethylation450 BeadChip was used to obtain DNA 
GSE122960,Single-Cell Transcriptomic Analysis of Human Lung Reveals Complex Multicellular Changes During Pulmonary Fibrosis II,Homo sapiens,,20301,17,,,,,,broad,Pulmonary fibrosis is a heterogeneous syndrome in which fibrotic scar replaces normal lung tissue. We performed massively parallel single-cell RNA-Seq on lung tissue from eight lung transplant donors 
GSE124253,Characterization of an Immortalized Human Small Airway Basal Stem/Progenitor Cell Line with Airway Region-specific Diffe,Homo sapiens,,570,28,,,,,,array,"The pathology of chronic obstructive pulmonary disease, idiopathic pulmonary fibrosis and the majority of lung cancers involve the small airway epithelium (SAE), the single continuous layer of cells l"
GSE124258,Characterization of an Immortalized Human Small Airway Basal Stem/Progenitor Cell Line with Airway Region-specific Diffe,Homo sapiens,,16791,2,,,,,,broad,"The pathology of chronic obstructive pulmonary disease, idiopathic pulmonary fibrosis and the majority of lung cancers involve the small airway epithelium (SAE), the single continuous layer of cells l"
GSE124502,"The mRNA profile of human bronchial epithelial cells transfected with miR-23b-3p, miR-145-5p and miR-494-3p",Homo sapiens,,21185,8,,,,,,array,"Accelerated senescence in lung epithelial cells is known to play a key role in the pathogenesis of idiopathic pulmonary fibrosis (IPF). However, the exact mechanisms underlying the IPF-related epithel"
GSE124685,mRNA Sequencing to identify transcriptional changes in early and late stages of  lung in human Idiopathic Pulmonary Fibr,Homo sapiens,,17303,84,,,,,,broad,Idiopathic pulmonary fibrosis (IPF) is a specific form of chronic progressive fibrosing interstitial pneumonia leading to progressive dyspnea and finally death.The classic diagnosis of IPF is based on
GSE124780,The cross-talk between TGF-b and periostin can be targeted for pulmonary fibrosis [AR2819],Homo sapiens,,20844,4,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a devastating disease characterized as progressive and irreversible fibrosis in the interstitium of lung tissues. There is still an unmet need to develop a novel
GSE124781,The cross-talk between TGF-b and periostin can be targeted for pulmonary fibrosis [AR2857],Homo sapiens,,20844,4,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a devastating disease characterized as progressive and irreversible fibrosis in the interstitium of lung tissues. There is still an unmet need to develop a novel
GSE124786,Gene Expression Changes Associated with Nintedanib Treatment in Idiopathic Pulmonary Fibrosis Fibroblasts [RNA-seq],Homo sapiens,,24676,3,,,,,,broad,"We found strong protein-protein interactions within these dysregulated genes in nintedanib treated IPF fibroblast, with most genes involved in the pathways of cell cycle, mitotic cell cycle, and cell "
GSE124787,Gene Expression Changes Associated with Nintedanib Treatment in Idiopathic Pulmonary Fibrosis Fibroblasts [miRNA-seq],Homo sapiens,,18573,3,,,,,,broad,"We found strong protein-protein interactions within these dysregulated genes in nintedanib treated IPF fibroblast, with most genes involved in the pathways of cell cycle, mitotic cell cycle, and cell "
GSE124788,Gene Expression Changes Associated with Nintedanib Treatment in Idiopathic Pulmonary Fibrosis Fibroblasts,Homo sapiens,,24676;18573,6,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE128033,Proliferating SPP1/MERTK-expressing macrophages in idiopathic pulmonary fibrosis,Homo sapiens,,18573,18,,,,,,broad,A comprehensive understanding of the changes in gene expression in cell  types involved in idiopathic pulmonary fibrosis (IPF) will shed light on the  mechanisms underlying the loss of alveolar epithe
GSE129085,Long intergenic non-coding RNAs regulate human lung fibroblast function: Implications for idiopathic pulmonary fibrosis ,Homo sapiens,,20301,12,,,,,,broad,"Phenotypic changes in lung fibroblasts are believed to contribute to the development of Idiopathic Pulmonary Fibrosis (IPF), a progressive and fatal lung disease.  Long intergenic non-coding RNAs (lin"
GSE129126,microRNA expression profiles in Idiopathic Pulmonary Fibrosis (IPF),Homo sapiens; Mus musculus; Rattus norvegicus,,26371,29,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is a lethal fibrotic lung disease characterized by enhanced fibroblast proliferation, collagen synthesis, extracellular matrix deposition. We obtained 28 IPF patien"
GSE129164,Transcriptome analysis of lung fibroblasts from 5 control and 5 IPF patients with/out TGF-b1 stimulation,Homo sapiens,,17586,20,,,,,,broad,Isolated primary human fibroblasts from 5 control and 5 IPF patients were treated with/out 3ng/ml TGF-b1  for 24 hours before cells were lysed for RNA extraction.
GSE130983,IL-11 is a therapeutic target in idiopathic pulmonary fibrosis,Mus musculus; Homo sapiens,,19057;18573,39,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) is a fatal lung disease where invasive pulmonary myofibroblasts secrete collagen and destroy lung integrity. Here we show that IL-11 is upregulated in the lung of I
GSE131133,Antifibrotic effect of metformin in the lung,Homo sapiens,,20844,7,,,,,,broad,"This experiment includes treatment of human pulmonary fibroblasts obtained from IPF patients with metformin. Since, we would like to investigate the transcriptome profile of these samples following me"
GSE132607,Longitudinal Blood Transcriptomic Changes Predict Lung Function Decline in Idiopathic Pulmonary Fibrosis,Homo sapiens,,15207,276,,,,,,array,The Rationale: Molecular markers of disease activity that are predictive of forced vital capacity (FVC) progression in idiopathic pulmonary fibrosis are needed. Objectives: Develop a predictor using l
GSE132771,Single cell RNA-sequencing of normal and fibrotic lungs in mouse and human,Mus musculus; Homo sapiens,,21103;24676,24,,,,,,broad,We performed scRNA-seq of cells obtained with a protocol designed to capture all of the collagen-producing cells from normal and fibrotic mouse and human lungs.
GSE132914,Senescence rather than apoptosis of alveolar progenitor cells drives pulmonary fibrosis (human),Homo sapiens,,24676,6,,,,,,broad,Idiopathic pulmonary fibrosis (IPF) is a fatal form of interstitial lung disease associated with progressive scarring of lung tissue and declining pulmonary function in aging individuals. Here we empl
GSE132915,Senescence rather than apoptosis of alveolar progenitor cells drives pulmonary fibrosis,Homo sapiens; Mus musculus,,24247;19057;24676,32,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE132917,Periostin promotes cell cycle in lung fibroblasts,Homo sapiens,,16699,2,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a devastating disease with only three to five years of the median survival. Fibroblast proliferation is a hallmark of IPF as well as secretion of extracellular m
GSE134692,RNA-Sequencing of Transplant Stage Idiopathic Pulmonary Fibrosis Lung Reveals Unique Pathway Regulation,Homo sapiens,,16791,80,,,,,,broad,"We report an RNA-seq based transcriptomic fingerprint of severe IPF enriched in pathways of T-cell infiltration/activation, tumor development and cholesterol homeostasis. We highlight novel splice var"
GSE135065,Transforming growth factor beta 1 induces methylation changes in lung fibroblasts [Affymetrix],Homo sapiens,,15207,18,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a complex disease of unknown etiology. Environmental factors can affect disease susceptibility via epigenetic effects. Few studies explore global DNA methylation
GSE135097,Transforming growth factor beta 1 induces methylation changes in lung fibroblasts [Illumina],Homo sapiens,,13534,12,,,,,,broad,Idiopathic pulmonary fibrosis (IPF) is a complex disease of unknown etiology. Environmental factors can affect disease susceptibility via epigenetic effects. Few studies explore global DNA methylation
GSE135099,Transforming growth factor beta 1 induces methylation changes in lung fibroblasts,Homo sapiens,,13534;15207,30,,,,,,array,This SuperSeries is composed of the SubSeries listed below.  Idiopathic pulmonary fibrosis (IPF) is a complex disease of unknown etiology. Environmental factors can affect disease susceptibility via e
GSE135456,Analysis of globle gene expression changes observed in fibroblasts isolated via explant outgrowth and 45-minute differen,Homo sapiens,,6522,14,,,,,,array,Fibroblasts are a ubiquitous cell type that are found in many tissue types and are associated  with a variety of diseases including most fibrotic disorders.  We isolated fibroblast cells using explant
GSE136263,Inhalation of Lung Spheroid Cell-Secreted Factors and Exosomes Promotes Therapeutic Lung Repair in Rodent Models of Pulm,Homo sapiens,,18573,5,,,,,,broad,"Idiopathic pulmonary fibrosis (IPF) is a fatal form of interstitial lung disease in which persistent injury results in scar tissue formation. As fibrosis thickens, the lung tissue becomes stiff and lo"
GSE136534,TGFβ-induced fibroblast activation requires persistent and targeted HDAC-mediated gene repression,Homo sapiens,,20301,12,,,,,,broad,"Tissue fibrosis is a chronic disease driven by persistent fibroblast activation that has recently been linked to epigenetic modifications.  Here, we screened a small library of epigenetic small-molecu"
GSE136831,IPF Cell Atlas,Homo sapiens,,20301,78,,,,,,broad,"Single Cell RNAseq of Whole Lung Dissociates from IPF, COPD and control lungs"
GSE137025,Bulk RNA-seq on SEMA7A high and negative Idiopathic pulmonary fibrosis (IPF) lung fibroblasts,Homo sapiens,,18573,8,,,,,,broad,"To check the gene signatures of SEMA7A high and SEMA7Anegative IPF lung fibroblasts and the similarity of SEMA7A high fibroblasts and invasive fibroblasts, SEMA7A negative fibroblasts and noninvasive "
GSE137026,Single cell RNA-seq revealed critical genetic programs of invasive fibroblasts for pulmonary fibrosis,Homo sapiens,,18573,16,,,,,,broad,"We performed a single cell RNA-seq survey of 14,704 invasive fibroblasts and 16,104 non-invasive fibroblasts using an in vitro assay system which had been previously used to evaluate the ability of lu"
GSE138239,Assessment of Viral RNA in Idiopathic Pulmonary Fibrosis Using RNA-seq [poly(A) RNA],Homo sapiens,,11154,15,,,,,,broad,"We identified sporadic low-level evidence of viral infections in our lung tissue specimens, but did not find a statistical difference for expression of any virus, including EBV, herpesvirus saimiri an"
GSE138283,Assessment of Viral RNA in Idiopathic Pulmonary Fibrosis Using RNA-seq [nonPoly(A) RNA],Homo sapiens,,21697,17,,,,,,broad,"Results: We identified sporadic low-level evidence of viral infections in our lung tissue specimens, but did not find a statistical difference for expression of any virus, including EBV, herpesvirus s"
GSE138669,Myofibroblast transcriptome indicates SFRP2+ fibroblast progenitors in systemic sclerosis skin,Homo sapiens,,18573,22,,,,,,rnaseq,"Skin and lung fibrosis in systemic sclerosis (SSc) is driven by myofibroblasts, alpha-smooth muscle actin (SMA) expressing cells that produce matrix as well as increase tension on surrounding tissues."
GSE140475,Identification of microRNA expression patterns in human myofibroblasts with/without the JQ-1 treatment and/or TGF-b,synthetic construct; Homo sapiens,,21572,4,,,,,,broad,"Idiopathic pulmonary fibrosis (IPF) is a chronic lung disease that normal parenchyma is progressively replaced by fibrotic foci comprised of myofibroblasts, active differentiated fibroblasts. IPF has "
GSE140476,Comprehensive transcriptome analysis of human myofibroblasts with/without the JQ-1 treatment [mRNA],Homo sapiens,,18573,6,,,,,,broad,"Idiopathic pulmonary fibrosis (IPF) is a chronic lung disease that normal parenchyma is progressively replaced by fibrotic foci comprised of myofibroblasts, active differentiated fibroblasts. IPF has "
GSE140477,Comprehensive transcriptome analysis of human myofibroblasts with/without the JQ-1 treatment,Homo sapiens; synthetic construct,,21572;18573,10,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE141905,Phenotypic drug screening in a human fibrosis model identified a novel class of antifibrotic therapeutics,Homo sapiens,,23159,12,,,,,,array,Fibrogenic processes instigate fatal chronic diseases leading to organ failure and death. Underlying biological processes involve induced massive deposition of extracellular matrix (ECM) by aberrant f
GSE141939,Single Cell sequencing of human bronchial Brush cells in IPF and disease controls,Homo sapiens,,20301,15,,,,,,rnaseq,The study aimed to compare the gene expression profiles at a single cell level in bronchial brush cells between patients with idiopathic pulmonary fibrosis and disease controls.
GSE143705,Human basal cell diversity in normal and IPF lung (bulk RNAseq),Homo sapiens,,18573,12,,,,,,broad,Declining lung function in patients with interstitial lung disease is accompanied by epithelial remodeling and progressive scarring of the gas-exchange region. There is a need to better understand the
GSE143706,Single cell reconstruction of human basal cell diversity in normal and IPF lung (single-cell RNAseq),Homo sapiens,,24676,13,,,,,,broad,Declining lung function in patients with interstitial lung disease is accompanied by epithelial remodeling and progressive scarring of the gas-exchange region. There is a need to better understand the
GSE143707,Human basal cell diversity in normal and IPF lung,Homo sapiens,,24676;18573,25,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE144338,"Expression data from stromal cells derived from idiopathic pulmonary fibrosis, lung adenocarcinoma and normal lung.",Homo sapiens,,22321,12,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) and lung cancer share common risk factors, epigenetic and genetic alterations, cellular and molecular aberrations, the activation of similar signaling pathways and "
GSE145439,Basal-like cell-conditioned medium exerts anti-fibrotic effects in vitro and in vivo,Homo sapiens,,11154,3,,,,,,rnaseq,We performed a single-cell transcriptome analysis of basal-like cells cultured from peripheral lung tissue of patients with idiopathic pulmonary fibrosis (IPF).
GSE146436,Human Ex Vivo Lung Perfusion: A Model System to study Lung diseases and direct targeted therapies,Homo sapiens,,18573,26,,,,,,broad,"In the present study, we demonstrate the feasibility of the EVLP technique to perfuse lungs from deceased patients with a broad spectrum of chronic lung diseases. We were able to assess gene expressio"
GSE146981,Single cell RNAseq reconstruct normal and IPF lung epithelium,Homo sapiens,,24676,28,,,,,,broad,"Tissue fibrosis is a common pathological outcome of chronic disease that markedly impairs organ function leading to morbidity and mortality. In the lung, idiopathic pulmonary fibrosis (IPF) is an insi"
GSE147066,Mesenchyme Subset from IPF Cell Atlas,Homo sapiens,,20301,58,,,,,,broad,Single Cell RNAseq of lung mesenchymal cells in fibrotic and control lung
GSE150148,"Emergence of CCL18- and IFI27-expressing macrophages in aging lungs, and potential roles for alveolar type 2 cell AGTR2 ",Homo sapiens,,24676,1,,,,,,rnaseq,"Aging lungs are associated with several lung diseases, including chronic obstructive pulmonary disease, idiopathic pulmonary fibrosis and pneumonia. This latter age-associated complication has been pa"
GSE150527,Comprehensive epigenomic profiling of human alveolar epithelial differentiation identifies key epigenetic states and tra,Homo sapiens,,11154,48,,,,,,rnaseq,"Background: Disruption of alveolar epithelial cell (AEC) differentiation is implicated in implicated in distal lung diseases such as chronic obstructive pulmonary disease, idiopathic pulmonary fibrosi"
GSE150910,RNA-Sequencing of Chronic hypersensitivity pneumonitis compared with Idiopathic Pulmonary Fibrosis and Control Lung,Homo sapiens,,24676,288,,,,,,broad,Chronic hypersensitivity pneumonitis (CHP) is caused by an immune response to antigen inhalation and is characterized by variable histopathological and clinical features. A subset of CHP subjects have
GSE151673,Transcriptomic Profiling of Fibrosis-Specific Epithelial Cells in Idiopathic Pulmonary Fibrosis,Homo sapiens,,18573,10,,,,,,broad,We aimed at characterizing disease-specific differences by comparing the transcriptomes of epithelial cells (ECs) from idiopathic pulmonary fibrosis (IPF) and non-IPF sources
GSE15197,RNA Expression Profiling of Lung Tissue Identifies Mutually Distinct Molecular Signatures in PAH and PH Secondary to IPF,Homo sapiens,,6480,39,,,,,,array,"Idiopathic pulmonary arterial hypertension (PAH) is a life-threatening condition characterized by pulmonary arteriolar remodeling, and is frequently associated with right heart failure. This study ide"
GSE155941,Transcriptional profiling of senescent A549 cells,Homo sapiens,,24676,12,,,,,,rnaseq,Telomere dysfunction is the most common identifiable cause of pulmonary fibrosis. Cellular senescence of epithlial cells is thought to play a signfiicant role in disease pathogensis. We established a 
GSE156310,Disparate interferon signaling and shared aberrant basaloid cells in single-cell profiling of idiopathic pulmonary fibro,Homo sapiens,,18573,2,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) and systemic sclerosis-associated interstitial lung disease (SSc-ILD) differ in the predominant demographics and identified genetic risk alleles of affected patient
GSE156541,"Gain-of-function MUC5B Promoter Variant, Strongly Linked to Idiopathic Pulmonary Fibrosis, Defines an Epigenetically Poi",Homo sapiens,,18573,6,,,,,,broad,"The G/T transversion, rs35705950, located approximately 3 kb upstream of the MUC5B start site, is the cardinal risk factor for IPF. Here, we investigate the function and chromatin structure of this -3"
GSE157376,Single cell RNA-sequencing on healthy and IPF lung mesenchymal cells.,Homo sapiens,,18573,10,,,,,,broad,Single cell lung suspensions of explanted healthy and IPF donor lung tissue were generated. scRNA-seq was performed on EPCAM negative live cells sorted by FACS. Puried mesenchymal cells were clustered
GSE157440,Pretreatment of aged mice with retinoic acid restores alveolar regeneration via upregulation of reciprocal PDGFRA signal,Homo sapiens; Mus musculus,,16791;17021,21,,,,,,rnaseq,"Reciprocal PDGFA signaling activates regenerative fibroblasts that support alveolar epithelial cell differentiation and repair, providing a potential therapeutic strategy to influence the pathogenesis"
GSE157606,"Gain-of-function MUC5B Promoter Variant, Strongly Linked to Idiopathic Pulmonary Fibrosis, Defines an Epigenetically Poi",Homo sapiens,,18573,10,,,,,,broad,"The G/T transversion, rs35705950, located approximately 3 kb upstream of the MUC5B start site, is the cardinal risk factor for IPF. Here, we investigate the function and chromatin structure of this -3"
GSE157691,"Gain-of-function MUC5B Promoter Variant, Strongly Linked to Idiopathic Pulmonary Fibrosis, Defines an Epigenetically Poi",Homo sapiens,,18573;20301,24,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE157996,Single-cell RNA-sequencing of human lung Lin–EpCAM+ cells,Homo sapiens,,18573,12,,,,,,rnaseq,"Healthy donor and idiopathic pulmonary fibrosis (IPF) patient lung tissues were digested, Lin–EpCAM+ cells were isolated with FACS, and then single-cell RNA-seq was performed."
GSE157997,Single-cell RNA-sequencing of mouse and human lung Lin–EpCAM+ cells,Homo sapiens; Mus musculus,,18573;19057,32,,,,,,broad,"This SuperSeries is composed of the SubSeries listed below.  These datasets include RNA transcriptomics of bleomycin-injured mouse lungs, day 0, day 4 and day 14; and corresponding controls; as well a"
GSE158623,Human bronchial epithelial cell-derived extracellular vesicles attenuate pulmonary fibrosis through inhibiting TGF-β-WNT,Homo sapiens,,16791,6,,,,,,rnaseq,Idiopathic pulmonary fibrosis (IPF) is characterized by devastating and progressive lung parenchymal ﬁbrosis with poor prognosis. An aberrant recapitulation of lung developmental genes including trans
GSE158624,Human bronchial epithelial cell-derived extracellular vesicles attenuate pulmonary fibrosis through inhibiting TGF-β-WNT,Homo sapiens,,18573;16791,10,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE159354,Single-cell RNA-seq of sort human lung explants from IPF and SSc-ILD patients,Homo sapiens,,20301,48,,,,,,broad,"To understand the cellular composition and transcriptional phenotype of fibrotic lung tissue we performed single-cell RNA-seq on stromal, immune, epithelial, and endothelial cell populations from huma"
GSE159585,The pulmonary vasculature in lethal COVID-19 and idiopathic pulmonary fibrosis at single cell resolution,Homo sapiens,,20301;24676,53,,,,,,rnaseq,"Aims: SARS-CoV-2 infection causes COVID-19, which in severe cases evokes life-threatening acute respiratory distress syndrome (ARDS). Transcriptome signatures and the functional relevance of non-vascu"
GSE159655,Epigenetic alterations underlie airway macrophage differentiation and phenotype during lung fibrosis,Homo sapiens,,21145,44,,,,,,broad,"Airway macrophages (AMs) are key regulators of the lung environment and are implicated in the pathogenesis of idiopathic pulmonary fibrosis (IPF). However, the epigenetics of AMs development and influ"
GSE160769,"Differential plasma exosomal long non-coding RNAs expression profiles and their emerging role in E-cig users, cigarette,",Homo sapiens,,23126,30,,,,,,array,"Long non-coding RNA (lncRNA) are the varied set of transcripts that are known to play a critical role in biological processes like gene regulation, transcription, post-transcriptional modification, an"
GSE160871,Transcriptional profiling of short telomere iPS derived sorted SFTPC+ iAT2 cells,Homo sapiens,,20301,22,,,,,,rnaseq,"Dyskeratosis congenita (DC) is a rare genetic disorder characterized by deficiencies in telomere maintenance leading to very short telomeres and the premature onset of certain age_Related diseases, in"
GSE161685,"The IPF-associated variant in MUC5B, rs35705950, resides within an enhancer that is subject to lineage- and disease-depe",Homo sapiens,,20301;18573,8,,,,,,rnaseq,"Genetic polymorphisms account for over 30% of the risk for sporadic pulmonary fibrosis. Yet it remains unknown how the minor variant of rs35705950, the strongest driver of IPF genetic risk, mediates m"
GSE163908,Global transcriptomic changes in human lung fibroblasts MRC5 exposed to conditioned media from RAS-activated alveolar ep,Homo sapiens,,24676,6,,,,,,rnaseq,"IPF (idiopathic pulmonary fibrosis), a progressive lung disease with an unmet need for treatment, causes increased morbidity and mortality worldwide. Abnormal wound healing is strongly implicated in I"
GSE164151,m6A modification regulates lung fibroblast-to-myofibroblast transition through modulating KCNH6 mRNA translation,Homo sapiens,,20795,12,,,,,,rnaseq,"In summary, we characterized the role of m6A modification in pulmonary fibrosis. We reveal that m6A modification is increased in bleomycin induced pulmonary fibrosis mice model, FMT-derived myofibrobl"
GSE165159,Transcriptome sequencing revealed a set of differentially expressed related genes between systemic lupus  erythematosus ,Homo sapiens,,20301,6,,,,,,rnaseq,"Systemic lupus erythematosus (SLE) is an autoimmune disease characterized by abnormal immune responses that include aberrant activation of autoreactive T and B lymphocytes, with subsequent production "
GSE166033,"RNA-seq for primary human bronchial epithelial cells, proliferating versus doxorubicin-induced senescence.",Homo sapiens,,20301,10,,,,,,broad,"Epithelial senescence, specifically in the bronchiolized regions of the fibrotic lung, is apparent in IPF but not control tissue. In order to better understand the phenotype of these senescent cells w"
GSE166036,Examining gene expression profile from varying preparations of fibrotic lung tissue,Homo sapiens,,20301,49,,,,,,broad,"Gene expression of human lung tissue bronchoalveolar lavage (BAL), whole tissue biopsy, and digested single cell suspension of lung tissue from control and ILD samples."
GSE166059,Molecular mapping of interstitial lung disease reveals a phenotypically distinct senescent basal epithelial cell populat,Homo sapiens,,20301,90,,,,,,broad,This SuperSeries is composed of the SubSeries listed below.
GSE167410,Histone H4 is increased in SARS-CoV-2-infected lung epithelial cells and linked to COVID-19 severity,Homo sapiens,,20301,16,,,,,,rnaseq,We found that histone H4 is a potential biomarker of COVID-19 pathogenesis. Bulk RNA-sequencing of endothelial cell samples from idiopathic pulmonary fibrosis (IPF) and chronic obstructive pulmonary d
GSE169500,Spatial transcriptome profiling identifies CREB1 as a regulator of core transcriptional programs in idiopathic pulmonary,Homo sapiens,,17301,30,,,,,,rnaseq,A defining feature of idiopathic pulmonary fibrosis is the regional heterogeneity of the lung pathology. Here we established methodology to study the transcriptome of spatially discrete morphological 
GSE171331,Non-adhesive alginate promotes further differentiation and models fibrosis of human lung organoids in vitro.,Homo sapiens,,20301,2,,,,,,rnaseq,"Human lung organoids (HLOs) are enabling the study of human lung development and disease by modelling native organ tissue structure, cellular composition, and cellular organization. In this report, we"
GSE171532,Alteration in the transcriptome of lung resident fibroblast isolated from fibrotic lungs of IPF upon genetic knockdown o,Homo sapiens,,15433,6,,,,,,rnaseq,"Pulmonary fibrosis (PF) is associated with many chronic lung diseases including Systemic sclerosis (SSc), Idiopathic Pulmonary Fibrosis (IPF) and Cystic Fibrosis (CF) which are characterized by the pr"
GSE172121,Disease modeling of pulmonary fibrosis using human iPS cell-derived alveolar organoids (fibroblasts),Homo sapiens,,24676,12,,,,,,rnaseq,"We developed an in vitro model of pulmonary fibrosis using alveolar organoids, consisting of human induced pluripotent stem cell-derived alveolar epithelial cells and human lung fibroblasts. In this m"
GSE172122,Disease modeling of pulmonary fibrosis using human iPS cell-derived alveolar organoids (SPC+ cells),Homo sapiens,,24676,6,,,,,,rnaseq,"We developed an in vitro model of pulmonary fibrosis using alveolar organoids, consisting of human induced pluripotent stem cell-derived alveolar epithelial cells and human lung fibroblasts. In this m"
GSE172123,Disease modeling of pulmonary fibrosis using human iPS cell-derived alveolar organoids,Homo sapiens,,24676,18,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE1724,TGFbeta lung fibroblasts,Homo sapiens,,8300,18,,,,,,array,"The response to a 4 hour treatment with TGFbeta (4 ng/ml) was evaluated in lung fibroblasts derived from three controls (normal periphery of resected tumor), open lung biopsies from three patients wit"
GSE173355,Molecular Signatures of Idiopathic Pulmonary Fibrosis [RNA-seq],Homo sapiens,,24676,37,,,,,,rnaseq,Genome-wide DNA methylation of IPF and normal lung tissue samples
GSE173356,Molecular Signatures of Idiopathic Pulmonary Fibrosis [methylation array],Homo sapiens,,23976,37,,,,,,broad,Genome-wide DNA methylation of IPF and normal lung tissue samples
GSE173357,Molecular Signatures of Idiopathic Pulmonary Fibrosis,Homo sapiens,,24676;23976,74,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE17518,mRNA expression profile in IMR-90 cells in response to TGF-β1,Homo sapiens,,96,6,,,,,,array,"Members of the NADPH oxidase (NOX) family of enzymes, which catalyze the reduction of O2 to reactive oxygen species, have increased in number during eukaryotic evolution. Seven isoforms of the NOX gen"
